1	289 
2	264 
3	239 
4	312 
5	258 
6	326 
7	160 
8	228 
9	284 
10	269 
11	293 
12	328 
13	136 
14	45 
15	34 
16	270 
17	105 
18	13 
19	175 
20	197 
21	297 
22	303 
23	124 
24	157 
25	235 
26	205 
27	3 
28	143 
29	112 
30	201 
31	108 
32	157 
33	181 
34	87 
35	253 
36	196 
37	248 
38	216 
39	113 
40	244 
41	204 
42	190 
43	300 
44	18 
45	195 
46	326 
47	99 
48	337 
49	207 
50	239 
51	70 
52	54 
53	57 
54	64 
55	118 
56	70 
57	132 
58	249 
59	297 
60	21 
61	219 
62	196 
63	107 
64	187 
65	191 
66	139 
67	247 
68	228 
69	187 
70	216 
71	24 
72	129 
73	81 
74	250 
75	279 
76	9 
77	7 
78	261 
79	133 
80	153 
81	47 
82	268 
83	273 
84	229 
85	235 
86	80 
87	125 
88	242 
89	339 
90	181 
91	40 
92	254 
93	60 
94	236 
95	247 
96	182 
97	129 
98	139 
99	9 
100	66 
101	182 
102	28 
103	1 
104	181 
105	142 
106	272 
107	217 
108	339 
109	203 
110	296 
111	199 
112	43 
113	43 
114	206 
115	200 
116	321 
117	284 
118	224 
119	183 
120	108 
121	80 
122	135 
123	137 
124	264 
125	319 
126	292 
127	7 
128	301 
129	175 
130	126 
131	174 
132	156 
133	112 
134	238 
135	184 
136	235 
137	110 
138	178 
139	200 
140	56 
141	41 
142	203 
143	66 
144	148 
145	91 
146	221 
147	259 
148	265 
149	65 
150	12 
151	149 
152	207 
153	19 
154	280 
155	149 
156	218 
157	314 
158	271 
159	73 
160	60 
161	239 
162	65 
163	4 
164	4 
165	257 
166	182 
167	109 
168	205 
169	320 
170	334 
171	48 
172	82 
173	96 
174	275 
175	50 
176	107 
177	330 
178	210 
179	203 
180	232 
181	71 
182	168 
183	132 
184	70 
185	273 
186	314 
187	192 
188	243 
189	325 
190	61 
191	164 
192	12 
193	41 
194	26 
195	186 
196	244 
197	33 
198	43 
199	268 
200	325 
201	144 
202	113 
203	316 
204	144 
205	270 
206	119 
207	66 
208	70 
209	66 
210	221 
211	166 
212	60 
213	124 
214	58 
215	162 
216	228 
217	336 
218	26 
219	33 
220	234 
221	63 
222	117 
223	96 
224	226 
225	255 
226	338 
227	182 
228	204 
229	121 
230	77 
231	247 
232	331 
233	102 
234	9 
235	54 
236	111 
237	321 
238	338 
239	1 
240	66 
241	125 
242	90 
243	85 
244	34 
245	150 
246	306 
247	2 
248	297 
249	120 
250	182 
251	215 
252	310 
253	279 
254	9 
255	38 
256	340 
257	316 
258	107 
259	160 
260	286 
261	180 
262	12 
263	137 
264	302 
265	180 
266	196 
267	253 
268	173 
269	40 
270	203 
271	321 
272	296 
273	97 
274	330 
275	246 
276	153 
277	15 
278	26 
279	247 
280	113 
281	139 
282	65 
283	315 
284	47 
285	333 
286	210 
287	95 
288	302 
289	275 
290	265 
291	250 
292	312 
293	306 
294	59 
295	40 
296	326 
297	314 
298	49 
299	271 
