1	70	4.93137
1	2447	6.82721
1	3224	11.7554
1	3685	5.73891
1	4135	0.147185
1	6025	9.36676
1	7064	10.0991
2	6482	0.000216672
2	6529	0.0144955
2	8812	0.0818607
2	9454	0.155789
2	9820	15.8365
2	9864	13.3277
2	9890	19.8511
3	3654	11.3451
3	7390	7.99436
3	8132	0.329565
3	8436	0.0402612
3	8959	0.376911
3	9492	7.60262
3	9795	21.3802
4	3423	0.0217605
4	8844	1.07985
4	8978	2.24162
4	9127	0.0517108
4	9898	19.8353
4	9927	12.3217
4	10000	13.7577
5	4737	3.50915
5	6262	4.62255
5	7908	0.00235921
5	8120	6.01364
5	8779	15.2547
5	9056	1.00027
5	9881	18.5757
6	1673	1.34651
6	7125	0.192982
6	8343	6.075
6	9706	7.81315
6	9778	7.53067
6	9875	13.5057
6	9903	12.7103
7	5853	0.666307
7	6001	14.7485
7	6006	4.89634
7	8100	0.77348
7	9637	2.50259
7	9741	8.34558
7	9988	17.112
8	3430	0.0167279
8	3460	0.636509
8	8095	6.64889
8	8145	1.57772
8	8644	13.1099
8	9277	9.64363
8	9646	17.5421
9	3444	1.26347
9	4054	0.00419538
9	5546	8.36676
9	8236	1.20943
9	9251	11.9022
9	9422	15.0253
9	9745	11.5176
10	2159	5.46507
10	4735	7.09587
10	5357	1.51067
10	7652	7.04521
10	8338	4.98344
10	8777	10.3244
10	8950	12.5815
11	6572	2.61188
11	6881	0.14513
11	7713	4.02443
11	8952	15.7637
11	9438	7.01171
11	9791	10.9224
11	9977	9.58538
12	1775	5.48734
12	4392	13.2332
12	5828	6.23182
12	6060	5.57969
12	6169	6.59042
12	6830	11.0904
12	7769	0.48183
13	1989	0.127603
13	7761	5.07062
13	9012	7.61426
13	9678	2.26086
13	9834	14.4822
13	9883	4.39039
13	9912	15.2401
14	1074	0.372718
14	4127	9.03729
14	4607	0.590532
14	7864	4.3069
14	8154	6.98595
14	8294	9.87698
14	8593	17.5166
15	3156	5.29688
15	3494	0.10712
15	3875	0.487041
15	8494	13.4677
15	9140	0.0906042
15	9617	7.78034
15	9804	21.4218
16	1949	8.25297
16	4609	8.06696
16	6840	3.50194
16	7162	0.0250466
16	8201	0.11204
16	9384	13.0582
16	9518	16.217
17	494	1.07185
17	676	0.394995
17	7200	0.373149
17	9159	19.2375
17	9263	2.56461
17	9801	9.97836
17	9886	15.452
18	3542	2.33377
18	6242	4.66407
18	6505	4.44967
18	6826	12.5901
18	6983	3.3933
18	7780	9.63219
18	8140	11.7104
19	8847	3.94611
19	9319	6.89925
19	9452	0.015725
19	9579	3.01192
19	9586	8.83722
19	9724	8.36788
19	9916	18.0351
20	1673	11.7775
20	3298	8.21245
20	7529	0.594053
20	7724	0.36821
20	8504	1.32652
20	8789	12.9053
20	9258	14.2067
21	3281	7.4265
21	3693	5.82913
21	4318	12.685
21	4825	6.92218
21	5260	9.22218
21	5421	3.42939
21	6100	3.34624
22	5215	2.61839
22	6697	4.88843
22	7437	6.10037
22	7494	9.71349
22	7620	8.69771
22	8402	11.2611
22	8501	5.75094
23	8037	4.93466
23	8326	0.0312521
23	8525	7.59772
23	9077	5.3233
23	9162	8.27163
23	9258	7.13311
23	9530	15.782
24	1070	8.76634
24	3406	5.42683
24	3720	6.55342
24	4391	8.65342
24	5299	4.83548
24	6929	5.26514
24	9789	9.7255
25	4719	4.88356
25	7075	7.74161
25	7536	9.09868
25	7701	7.67614
25	7717	0.00368652
25	9459	2.86994
25	9910	16.7463
26	3513	4.66957
26	4257	0.00313524
