0	1	4
0	2	5
0 	3 	3
0 	4 	3
0 	5 	3
0 	6 	3
0 	7 	2
0 	8 	2
0 	10 	2
0 	11 	3
0 	12 	1
0 	13 	3
0 	17 	2
0 	19 	2
0 	21 	2
0 	31 	2
1 	2 	6
1 	3 	3
1 	7 	4
1 	13 	5
1 	17 	1
1 	19 	2
1 	21 	2
1 	30 	2
2 	3 	3
2 	7 	4
2 	8 	5
2 	9 	1
2 	13 	3
2 	27 	2
2 	28 	2
2 	32 	2
3 	7 	3
3 	12 	3
3 	13 	3
4 	6 	2
4 	10 	3
5 	6 	5
5 	10 	3
5 	16 	3
6 	16 	3
8 	30 	3
8 	32 	3
8 	33 	4
13 	33 	3
19 	33 	1
31 	24 	2
31 	25 	7
31 	28 	2
31 	32 	4
31 	33 	4
30 	32 	3
30 	33 	3
9 	33 	2
27 	23 	4
27 	24 	3
27 	33 	4
28 	33 	2
32 	14 	3
32 	15 	3
32 	18 	1
32 	20 	3
32 	22 	2
32 	23 	5
32 	29 	4
32 	33 	5
33 	14 	2
33 	15 	4
33 	18 	2
33 	20 	1
33 	22 	3
33 	23 	4
33 	26 	2
33 	29 	2
23 	25 	5
23 	29 	3
25 	24 	2
29 	26 	4
